,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01200,14.11108034,-7.313562419,2.350321585,-3.111728397,0.001859955,0.010780012
AT1G01225,13.1708484,-7.225014081,2.213516926,-3.264042844,0.001098346,0.006900221
AT1G01570,15.30972715,-5.252659376,1.959583153,-2.680498333,0.007351263,0.03409569
AT1G02705,81.76539291,-2.502974924,0.895951066,-2.793651372,0.005211663,0.025763514
AT1G03120,10.19601124,-6.854039702,2.326787992,-2.94570873,0.003222157,0.017189598
AT1G03165,14.3082224,-7.336871797,2.064834252,-3.553249754,0.000380503,0.002772113
AT1G03410,109.6944315,-2.246617566,0.725243237,-3.097743559,0.001950001,0.011224168
AT1G03540,27.12449614,-3.501614271,1.19191528,-2.937804667,0.003305452,0.017575752
AT1G04640,90.06088943,-2.563131759,0.673398914,-3.80626061,0.000141084,0.001158171
AT1G04710,62.41800018,-2.991119239,1.021284233,-2.928782354,0.003402926,0.017974622
AT1G04760,23.333917,-4.193057054,1.320339198,-3.175742309,0.001494536,0.00897633
AT1G04770,62.3911764,-3.119380816,0.968075203,-3.222250508,0.001271879,0.007851547
AT1G05590,56.62017431,-2.952020035,0.776087008,-3.803723044,0.000142538,0.00116797
AT1G06475,45.52910341,-9.012253855,1.634663321,-5.513217149,3.52E-08,5.54E-07
AT1G07410,9.222355867,-6.702631264,2.408349477,-2.783080831,0.005384539,0.026425703
AT1G07440,123.706625,-2.757378488,0.691169731,-3.989437565,6.62E-05,0.000586114
AT1G07870,56.13599503,-2.453308255,0.962101713,-2.549946875,0.010773934,0.04659103
AT1G08125,55.18776292,-2.218867328,0.869477456,-2.551954983,0.010712036,0.046396324
AT1G08210,66.75226534,-2.314583903,0.750132643,-3.085566167,0.00203165,0.011614257
AT1G08390,22.22659879,-6.873839624,1.852813274,-3.709947311,0.000207302,0.001622674
AT1G08400,42.5902025,-4.182830897,0.979287399,-4.271300643,1.94E-05,0.000196732
AT1G08560,137.6244255,-2.728428953,0.562419894,-4.851231225,1.23E-06,1.55E-05
AT1G08660,104.0980486,-2.253774262,0.680802945,-3.310464914,0.000931411,0.005993917
AT1G08880,281.0161898,-2.162823781,0.37970782,-5.696021165,1.23E-08,2.07E-07
AT1G09200,161.7268495,-2.394140286,0.819207432,-2.922508015,0.003472247,0.018295595
AT1G09240,39.88130735,-8.819451381,1.547111424,-5.700592242,1.19E-08,2.02E-07
AT1G09460,184.8920405,-2.100923314,0.528083771,-3.978390229,6.94E-05,0.000611489
AT1G09470,25.95200031,-8.198285471,1.74190919,-4.706494183,2.52E-06,3.04E-05
AT1G10240,35.67163272,-3.510705793,0.948422508,-3.701626399,0.000214222,0.00166937
AT1G10460,8.062031644,-6.510476577,2.521810599,-2.581667544,0.009832425,0.043347348
AT1G10470,338.3708102,-2.039228814,0.446695392,-4.565144057,4.99E-06,5.73E-05
AT1G10657,80.2815853,-2.576865351,0.984117702,-2.618452393,0.008832962,0.039779327
AT1G10750,44.64107214,-4.507564284,1.282601171,-3.514392771,0.000440761,0.003136325
AT1G10810,21.5912173,-5.63155838,1.733007207,-3.249587398,0.001155726,0.007217848
AT1G10960,916.8114963,-2.060802222,0.343141877,-6.005685587,1.91E-09,3.56E-08
AT1G11220,9.257191791,-5.844956199,2.254914097,-2.592097059,0.009539285,0.042303563
AT1G11380,69.87978661,-6.019900399,0.987405615,-6.096684389,1.08E-09,2.08E-08
AT1G11440,102.0308032,-2.143435216,0.670771123,-3.195479268,0.001395988,0.008491129
AT1G12020,56.71886195,-4.187629931,0.944157265,-4.435309757,9.19E-06,9.95E-05
AT1G12300,22.71375662,-5.818112166,1.59217275,-3.654196547,0.000257989,0.001968979
AT1G12450,85.75965745,-2.464503242,0.664577488,-3.708376052,0.000208593,0.001630785
AT1G12550,17.6168569,-5.813738947,1.813842436,-3.205206158,0.001349658,0.008257537
AT1G12730,38.81318445,-3.367577755,0.966172728,-3.485482107,0.000491251,0.003444663
AT1G13640,194.2292069,-2.356515617,0.604509298,-3.898228902,9.69E-05,0.000823447
AT1G14160,22.36922195,-7.986791683,1.810493466,-4.411389399,1.03E-05,0.000110568
AT1G14185,13.35948814,-7.241542214,2.08502588,-3.473118624,0.000514448,0.00357776
AT1G14360,64.8971831,-3.901276287,0.874471055,-4.461298362,8.15E-06,8.91E-05
AT1G14700,113.8728264,-2.257659564,0.82478508,-2.737270132,0.00619514,0.029559755
AT1G14900,94.33292938,-3.158785887,1.135770082,-2.781184271,0.005416098,0.026553506
AT1G15550,22.0166248,-7.959995588,1.815241135,-4.38508991,1.16E-05,0.000123155
AT1G15570,50.64380282,-3.036292771,1.15547797,-2.627737482,0.008595482,0.038910766
AT1G15760,10.76387426,-6.925701259,2.388670606,-2.899395689,0.003738827,0.019492131
AT1G15970,98.89446421,-2.314839559,0.653584534,-3.541759999,0.000397467,0.002876107
AT1G16040,29.70102712,-5.243388604,1.459188202,-3.593360059,0.000326441,0.002425062
AT1G16340,51.55642629,-3.309746183,0.95179789,-3.477362388,0.000506373,0.003532681
AT1G16570,43.38065385,-2.552476552,0.876985219,-2.910512625,0.003608364,0.01891443
AT1G16790,25.62594287,-5.697884953,1.503479548,-3.789798776,0.000150769,0.001227065
AT1G17090,20.24425518,-4.310654444,1.449577115,-2.973732407,0.002942015,0.015902249
AT1G17100,230.3578392,-2.422684288,0.474924213,-5.101201877,3.38E-07,4.66E-06
AT1G17350,32.80597544,-3.401174401,1.289561601,-2.63746563,0.008352809,0.037999259
AT1G18250,109.5439797,-2.401838633,0.73309391,-3.276304168,0.001051752,0.006643954
AT1G18400,57.38049027,-4.145455182,1.071314909,-3.869501999,0.000109058,0.000917459
AT1G18610,57.64150286,-4.031283764,1.015382553,-3.970211771,7.18E-05,0.000630842
AT1G19510,69.59045743,-9.621151373,1.425218517,-6.750649992,1.47E-11,3.44E-10
AT1G19680,70.36197646,-3.043835369,0.934603454,-3.256820159,0.001126678,0.007057044
AT1G20070,18.02706513,-5.203959963,1.58375032,-3.285846195,0.001016765,0.006458975
AT1G20530,56.69277382,-4.842582425,1.178757456,-4.108209371,3.99E-05,0.000374229
AT1G20540,62.71968674,-2.602576042,0.941145081,-2.765329272,0.005686536,0.027528786
AT1G21360,10.83059396,-6.058155605,2.1559585,-2.809959285,0.004954777,0.024700736
AT1G21410,31.66113312,-3.315693903,1.240246487,-2.673415274,0.007508324,0.034706344
AT1G21710,34.29554502,-5.112688722,1.762167451,-2.901363726,0.003715423,0.019401647
AT1G21840,16.96656278,-6.468464373,1.970980359,-3.28185126,0.00103128,0.006538233
AT1G22220,22.49130632,-5.207695465,1.718816556,-3.029814581,0.002447039,0.01363654
AT1G22590,41.83079956,-4.812765061,0.988231299,-4.87007957,1.12E-06,1.41E-05
AT1G23090,922.2605286,-2.776498162,0.459003514,-6.048969298,1.46E-09,2.75E-08
AT1G23340,108.3561041,-2.246682081,0.629519272,-3.568885309,0.000358503,0.002630756
AT1G23880,22.8483392,-4.555866351,1.568858207,-2.903937609,0.003685016,0.019258535
AT1G24450,26.38100809,-5.483525188,1.551278599,-3.534842284,0.000408019,0.0029381
AT1G25250,32.62088546,-7.499046489,1.53320528,-4.891090963,1.00E-06,1.28E-05
AT1G25375,26.59845766,-4.302291242,1.494137428,-2.879448142,0.003983718,0.020518025
AT1G25480,21.62891015,-5.744196884,1.699306587,-3.380318142,0.00072402,0.004797222
AT1G26190,78.48797553,-2.094515039,0.773609421,-2.707458029,0.006780064,0.031845456
AT1G26220,69.67421282,-3.872837262,1.250654591,-3.096648179,0.00195722,0.011255624
AT1G27660,181.689055,-2.033379646,0.58424447,-3.48035754,0.000500745,0.00349849
AT1G28230,8.797150912,-6.642395242,2.586439208,-2.568162136,0.010223932,0.044664151
AT1G29260,129.0108151,-2.324498016,0.740914119,-3.137337995,0.001704895,0.010023156
AT1G29450,12.42803725,-7.131148962,2.221092086,-3.210649845,0.001324352,0.008124035
AT1G29660,26.92836287,-3.903443304,1.112247228,-3.509510482,0.000448932,0.003186405
AT1G29980,68.41260921,-2.193223636,0.754197198,-2.908024109,0.003637203,0.019050036
AT1G30545,27.51402283,-3.93467696,1.193673672,-3.296275232,0.00097976,0.006263174
AT1G31320,23.48695684,-3.138430568,1.160440043,-2.704517642,0.006840364,0.032089525
AT1G31770,88.35814208,-3.932917332,0.92004742,-4.27468981,1.91E-05,0.000194619
AT1G32450,149.9983099,-4.788647911,0.616417119,-7.768518689,7.94E-15,2.47E-13
AT1G33810,141.8880429,-2.0379687,0.507441616,-4.016163901,5.92E-05,0.000531077
AT1G34010,67.28193684,-3.510682435,1.045084015,-3.359234651,0.000781587,0.005132713
AT1G35460,111.7283042,-2.234178697,0.783972932,-2.849816118,0.004374451,0.022233809
AT1G36390,156.7002062,-2.158436853,0.830458855,-2.599089454,0.009347141,0.041608181
AT1G43710,236.6935263,-2.755545309,0.556488054,-4.951670192,7.36E-07,9.58E-06
AT1G44110,109.6069153,-2.673585586,0.851418916,-3.140152908,0.001688597,0.00994861
AT1G46264,84.52762704,-2.880921429,0.971480115,-2.965497064,0.003021942,0.016283971
AT1G47960,475.0030128,-4.161894396,1.511612189,-2.753281845,0.005900108,0.028412628
AT1G48200,20.67766605,-5.267080641,1.613676492,-3.264025142,0.001098414,0.006900221
AT1G48355,194.0177258,-2.483048676,0.951290859,-2.610188725,0.009049228,0.040572921
AT1G48750,76.77997408,-3.03770669,0.664076914,-4.574329607,4.78E-06,5.50E-05
AT1G49010,174.3131404,-2.531024963,0.695954085,-3.636770037,0.000276078,0.002084721
AT1G49470,222.4142396,-3.28102607,0.583810044,-5.62002333,1.91E-08,3.12E-07
AT1G49475,26.00672135,-7.318854161,1.606331807,-4.556253028,5.21E-06,5.94E-05
AT1G49480,234.6400837,-2.058863345,0.398714866,-5.163748637,2.42E-07,3.42E-06
AT1G49840,112.226175,-3.743128156,0.851228734,-4.397323548,1.10E-05,0.000116997
AT1G49870,51.067043,-3.686800415,0.957441754,-3.85067854,0.000117791,0.000985547
AT1G49990,14.14305039,-7.323724968,2.056456339,-3.561332584,0.000368977,0.002696308
AT1G50120,183.7527143,-2.246821934,0.644266511,-3.487410714,0.000487722,0.003426156
AT1G52340,140.841682,-3.215572166,1.075615126,-2.989519288,0.002794168,0.015209883
AT1G52450,12.13220583,-7.098608438,2.710818617,-2.618621694,0.00882858,0.039768897
AT1G52618,18.32206714,-7.695126719,2.19376011,-3.507733905,0.000451941,0.003202856
AT1G52770,11.55167414,-7.03665555,2.296384177,-3.064232728,0.002182291,0.01234707
AT1G52880,27.48862836,-3.861296953,1.43954145,-2.682310365,0.007311559,0.033952447
AT1G53160,251.2933755,-11.47364527,1.286218474,-8.9204482,4.64E-19,1.98E-17
AT1G53520,69.65915596,-3.441372806,0.999924523,-3.44163257,0.000578215,0.003944313
AT1G53650,72.57657735,-3.710371535,1.075822336,-3.448870143,0.000562937,0.003853278
AT1G54385,36.88946288,-4.93664079,1.210199635,-4.079195406,4.52E-05,0.000416197
AT1G54650,31.47136246,-4.628503512,1.536250458,-3.012857368,0.002588005,0.014306124
AT1G54730,56.75986574,-2.469373859,0.917149684,-2.692443666,0.007093052,0.033097469
AT1G55050,14.01689161,-4.761399071,1.603182231,-2.969967468,0.002978313,0.016075622
AT1G55130,90.90555349,-2.059694764,0.742025287,-2.775774358,0.005507041,0.026923935
AT1G55280,17.56406176,-6.481795052,2.267220953,-2.85891635,0.004250909,0.021697557
AT1G55340,146.34444,-2.928656526,0.686456096,-4.266342079,1.99E-05,0.000200664
AT1G55360,308.4595205,-2.119387518,0.57754294,-3.669662237,0.000242871,0.001869166
AT1G55675,78.74950793,-3.518064127,1.108167245,-3.174668935,0.001500075,0.009000453
AT1G55805,58.57967149,-3.116888256,1.007461577,-3.093803602,0.001976083,0.011333622
AT1G55960,174.5984673,-3.162514672,0.896717559,-3.526767864,0.000420665,0.003014508
AT1G56210,137.3930472,-2.3477304,0.623927635,-3.762824834,0.000168005,0.001353603
AT1G56220,2350.330183,-2.067200701,0.265966331,-7.772414991,7.70E-15,2.40E-13
AT1G56710,18.11452022,-7.684948212,2.154242737,-3.567354821,0.000360603,0.002643571
AT1G57540,16.25267198,-5.775309478,1.753808096,-3.293011072,0.000991206,0.006325838
AT1G57906,26.78910656,-4.803973791,1.402405508,-3.425524048,0.000613615,0.004151443
AT1G58170,30.64352289,-5.245602149,1.490866754,-3.518491599,0.000434008,0.003095138
AT1G58180,125.474242,-2.17439413,0.776832085,-2.79905294,0.005125273,0.025405939
AT1G59540,57.46469113,-2.91425777,1.116959427,-2.60909904,0.009078096,0.040655002
AT1G59700,19.03081401,-4.304619441,1.671415626,-2.575433287,0.010011458,0.044013832
AT1G59840,107.5087576,-3.474375654,0.932517254,-3.725803078,0.000194694,0.001536722
AT1G60000,220.9135182,-2.50522603,0.631779845,-3.965346552,7.33E-05,0.000642676
AT1G61600,145.8296442,-2.808850284,0.906473777,-3.098655865,0.001944007,0.011203067
AT1G61680,20.35949576,-7.853201945,1.911575807,-4.10823464,3.99E-05,0.000374229
AT1G62170,26.57622633,-4.081926961,1.317685721,-3.097800103,0.001949629,0.011224168
AT1G62180,849.9574495,-2.628720874,0.465564663,-5.646306697,1.64E-08,2.72E-07
AT1G62520,24.93132266,-5.93903356,1.5523239,-3.825898422,0.000130296,0.001077293
AT1G62830,79.00651288,-2.611355615,0.891141948,-2.930347539,0.003385831,0.017894144
AT1G62915,17.68920191,-7.647901807,1.947616053,-3.926801587,8.61E-05,0.00074069
AT1G63080,11.2154687,-6.99134713,2.283094285,-3.062224445,0.002196987,0.012419265
AT1G63480,78.11952683,-2.545426035,0.747865462,-3.403588164,0.000665069,0.004446425
AT1G63855,17.39976031,-4.168449563,1.477045384,-2.822154016,0.004770226,0.023904534
AT1G64150,101.2501869,-2.715549746,0.896891662,-3.027734408,0.002463945,0.013706942
AT1G64450,23.28892291,-8.040011061,1.790855353,-4.489480988,7.14E-06,7.91E-05
AT1G64455,9.054399612,-6.682967459,2.403520638,-2.780490982,0.005427677,0.026589952
AT1G64583,9.078941907,-5.803303702,2.257617187,-2.570543728,0.010153901,0.044479888
AT1G66130,76.90580749,-4.312487845,0.966159584,-4.463535751,8.06E-06,8.84E-05
AT1G66840,175.1704766,-2.044019444,0.723522641,-2.825093963,0.004726675,0.023710984
AT1G66890,83.58059384,-3.528460318,1.005352495,-3.509674803,0.000448655,0.003186405
AT1G67080,156.1768643,-2.855927894,0.626003873,-4.562156907,5.06E-06,5.80E-05
AT1G67690,56.12121625,-2.102076405,0.774030906,-2.715752546,0.006612532,0.031195593
AT1G67910,85.10806275,-2.893488771,0.909567293,-3.181170642,0.001466812,0.008839448
AT1G68220,98.74883534,-3.471739966,0.787869752,-4.406489721,1.05E-05,0.000112594
AT1G68520,1254.732607,-2.987053035,0.387723421,-7.70408202,1.32E-14,4.01E-13
AT1G68600,34.25087744,-4.118325761,1.523653879,-2.702927364,0.006873176,0.032204211
AT1G69040,366.4793261,-2.050068268,0.48427074,-4.233310206,2.30E-05,0.000228826
AT1G69170,31.99205625,-3.517699028,0.992068597,-3.545822373,0.00039139,0.002838536
AT1G69200,132.8896449,-2.105953927,0.704968584,-2.987301809,0.002814517,0.015311992
AT1G69360,124.3608294,-2.677445716,0.770681385,-3.474127918,0.000512517,0.003567783
AT1G69400,16.86466517,-6.696400796,1.818158163,-3.683068356,0.000230443,0.001783504
AT1G69570,161.3239172,-3.09234152,0.557677529,-5.545035182,2.94E-08,4.69E-07
AT1G70150,28.4149782,-3.754796735,1.289074157,-2.912785673,0.003582204,0.018792657
AT1G70470,157.7326216,-2.595528613,0.481082992,-5.395178499,6.85E-08,1.04E-06
AT1G70475,132.6969616,-2.754801501,0.568208695,-4.848221307,1.25E-06,1.57E-05
AT1G71050,79.39861597,-2.753775875,1.076451547,-2.558197704,0.010521626,0.045756947
AT1G71340,78.26816891,-2.366393125,0.935809546,-2.528712316,0.011448182,0.049033068
AT1G71970,49.82471297,-3.126950127,1.123534892,-2.783135752,0.005383628,0.026425703
AT1G72030,47.76426182,-3.724798218,1.464407549,-2.543553001,0.010973141,0.047293107
AT1G72190,40.69179073,-5.150528276,1.082341455,-4.758690756,1.95E-06,2.40E-05
AT1G72416,141.9268895,-2.589761728,0.604204736,-4.286232091,1.82E-05,0.000185271
AT1G72630,104.0559165,-2.999291739,0.705903955,-4.2488666,2.15E-05,0.000215842
AT1G73640,14.42689815,-7.351012358,2.567965296,-2.862582438,0.004202039,0.021488006
AT1G73830,143.6772021,-4.966969843,0.778251263,-6.382218801,1.75E-10,3.61E-09
AT1G74530,101.3299526,-3.604197816,0.834741193,-4.317742847,1.58E-05,0.000162339
AT1G74880,168.9251067,-2.041718409,0.70163153,-2.909958177,0.003614771,0.018942858
AT1G74890,19.97617528,-7.825132779,1.882732499,-4.15626372,3.23E-05,0.000310245
AT1G75340,120.0984152,-2.804262276,0.611548167,-4.585513341,4.53E-06,5.23E-05
AT1G75590,12.73743698,-7.176541969,2.27377176,-3.156227945,0.001598239,0.009503523
AT1G75750,483.1468967,-3.256754592,0.312892897,-10.40852834,2.27E-25,1.40E-23
AT1G76310,73.46438796,-3.896569765,1.093535361,-3.563277335,0.000366253,0.002679455
AT1G76405,59.79281128,-3.738700079,1.30749758,-2.859431739,0.004244007,0.021673827
AT1G76800,168.0978622,-3.762127579,0.740790498,-5.078531094,3.80E-07,5.20E-06
AT1G76870,83.1338989,-4.381162752,0.948179539,-4.620604613,3.83E-06,4.49E-05
AT1G76952,13.42794167,-7.251234272,2.602000457,-2.786792082,0.005323262,0.026191756
AT1G77090,84.57350995,-2.187386373,0.830019388,-2.635343709,0.008405212,0.038201541
AT1G77110,82.08278301,-3.611068924,0.94210471,-3.832980438,0.0001266,0.001051704
AT1G77400,14.54654469,-6.252171715,1.905883576,-3.280458362,0.001036386,0.006561957
AT1G77990,208.3801614,-2.28697244,0.493610838,-4.633148761,3.60E-06,4.25E-05
AT1G78020,1499.908249,-2.143186297,0.337450954,-6.351104563,2.14E-10,4.39E-09
AT1G78090,60.66430888,-3.704874249,1.223081994,-3.029129908,0.002452592,0.013661554
AT1G78100,166.1347636,-2.264836785,0.547160601,-4.139254142,3.48E-05,0.000331851
AT1G78290,18.41603707,-5.556572808,1.584855872,-3.506042982,0.000454822,0.003220565
AT1G78320,28.12098016,-5.169607117,1.305533956,-3.95976458,7.50E-05,0.000655793
AT1G78510,110.011046,-2.346559892,0.63030142,-3.722917032,0.000196934,0.001551613
AT1G79110,437.8497472,-2.024514416,0.348489974,-5.809390706,6.27E-09,1.11E-07
AT1G79260,20.09823327,-5.311080839,1.58361836,-3.353763111,0.000797206,0.005222811
AT1G79700,162.7040857,-2.543852886,0.769952045,-3.303910813,0.000953462,0.006121491
AT1G79720,74.24210989,-3.568653682,1.169648694,-3.051047465,0.002280445,0.012815769
AT1G79820,69.38680752,-4.790621909,0.978168494,-4.897542643,9.70E-07,1.24E-05
AT1G79840,197.4752653,-2.403312102,0.532827625,-4.510487045,6.47E-06,7.24E-05
AT1G80690,173.0963692,-4.710404052,1.665636274,-2.827990796,0.004684115,0.023522007
AT1G80700,8.496229356,-6.592409451,2.466744967,-2.672513591,0.007528532,0.034767081
AT1G80870,172.3149546,-2.709838527,0.968463234,-2.79808095,0.005140723,0.025469403
AT1G80970,14.37147849,-6.220688428,1.939858419,-3.206774457,0.001342322,0.008215266
AT2G01050,401.2556491,-5.856447996,1.556053677,-3.763654225,0.000167448,0.001349684
AT2G01150,2051.998273,-5.587547548,1.3940705,-4.008081045,6.12E-05,0.000547259
AT2G01310,325.8079115,-6.700896533,1.541049468,-4.34826829,1.37E-05,0.000143307
AT2G01510,39.14170667,-3.721606015,1.140378087,-3.263484329,0.001100513,0.006911148
AT2G01520,308.8609414,-3.165151071,0.851432372,-3.717442716,0.00020125,0.001581083
AT2G01755,80.88999571,-3.754713187,0.829748896,-4.525119837,6.04E-06,6.80E-05
AT2G01913,40.10378946,-3.645312686,1.371803862,-2.657313327,0.00787662,0.036174941
AT2G01918,19.0895147,-6.018028533,1.740165724,-3.458307707,0.00054358,0.003751463
AT2G02710,219.8974928,-2.246801218,0.592523316,-3.79192035,0.000149487,0.001218172
AT2G03310,100.2035584,-2.22480547,0.687079406,-3.238061641,0.001203448,0.007489159
AT2G04530,40.54486041,-2.880939609,1.110188639,-2.595000082,0.00945909,0.042038457
AT2G04795,46.18873773,-3.108743953,1.172570269,-2.651221881,0.008020113,0.03673754
AT2G05160,90.19412916,-2.125142197,0.763349368,-2.783970599,0.00536979,0.026380225
AT2G05210,150.2092069,-2.180051127,0.768167081,-2.837990823,0.004539849,0.022893112
AT2G05310,269.5432372,-2.201496042,0.477773217,-4.607826404,4.07E-06,4.75E-05
AT2G07774,12.6686469,-5.384069072,1.923452274,-2.799169569,0.005123422,0.025403306
AT2G10931,18.83721955,-7.73639263,1.871923146,-4.132858043,3.58E-05,0.000340048
AT2G12462,11.62481192,-6.16580361,2.017735818,-3.055803221,0.002244585,0.012640075
AT2G13690,110.3270026,-2.750815166,0.790812415,-3.47846735,0.00050429,0.003520701
AT2G13840,12.79902407,-7.179736258,2.126161537,-3.376853609,0.000733201,0.004849706
AT2G15830,61.98580399,-2.225455207,0.810139579,-2.747002203,0.006014273,0.02888643
AT2G17210,15.33972079,-6.305446536,2.049696355,-3.076283236,0.002095986,0.011950103
AT2G17620,24.36849909,-8.103478065,1.918353168,-4.224184681,2.40E-05,0.000237683
AT2G18160,299.1428473,-2.079561479,0.727791456,-2.857359015,0.004271824,0.021792754
AT2G18560,96.57368705,-2.241860647,0.621482931,-3.607276301,0.000309428,0.002308478
AT2G19570,131.5268143,-2.71668596,0.599797903,-4.52933554,5.92E-06,6.68E-05
AT2G19620,83.4981368,-3.302595502,0.950746178,-3.473687907,0.000513358,0.003572346
AT2G20020,142.5087836,-2.314782538,0.754692248,-3.067187378,0.002160834,0.012243663
AT2G20100,134.0424138,-2.392639289,0.693360799,-3.450785353,0.000558958,0.003835587
AT2G21530,303.247379,-2.841974398,0.397318012,-7.152895943,8.50E-13,2.18E-11
AT2G21650,107.2485791,-2.476692035,0.880881396,-2.811606698,0.004929474,0.024593705
AT2G21860,105.9517374,-2.219243887,0.861136187,-2.577111402,0.009962984,0.043822556
AT2G21970,228.5077765,-2.561550478,0.613362395,-4.176243112,2.96E-05,0.00028723
AT2G22122,74.000477,-2.275514675,0.799817818,-2.845041237,0.004440567,0.022497518
AT2G22640,31.89666884,-7.461613418,1.546710098,-4.824183555,1.41E-06,1.76E-05
AT2G23600,455.5202907,-3.232674578,0.478898199,-6.750233318,1.48E-11,3.44E-10
AT2G23610,113.207379,-2.622076767,0.724050784,-3.621398976,0.000293014,0.002193675
AT2G23690,15.28754302,-4.121281011,1.595033614,-2.583820789,0.009771255,0.043151023
AT2G23945,13.50262303,-5.477452317,1.899119827,-2.884205746,0.003924023,0.020281845
AT2G23960,15.63001703,-5.710982404,1.757662449,-3.249191793,0.001157334,0.007225549
AT2G24030,20.55901286,-7.860662775,1.892430929,-4.153738272,3.27E-05,0.000313067
AT2G24150,186.2795427,-2.450058599,0.499626013,-4.903785098,9.40E-07,1.20E-05
AT2G24230,167.3383715,-2.382432607,0.513868286,-4.636270947,3.55E-06,4.19E-05
AT2G24762,413.9560786,-2.322493531,0.487518753,-4.763906041,1.90E-06,2.34E-05
AT2G26680,102.9722508,-2.857669325,0.786298666,-3.634330628,0.000278703,0.002102069
AT2G26760,67.03102148,-2.286539023,0.845036278,-2.70584717,0.006813039,0.031976927
AT2G28070,127.3249238,-2.119654669,0.784367064,-2.702375924,0.006884587,0.032249827
AT2G28305,238.914279,-2.150563469,0.520543748,-4.131378925,3.61E-05,0.000341908
AT2G28350,51.73149489,-4.50903858,1.06998668,-4.214107208,2.51E-05,0.00024639
AT2G28620,151.1327402,-2.125004673,0.839825843,-2.530292072,0.011396761,0.048888982
AT2G28660,125.2824594,-3.084181491,0.757389264,-4.072122006,4.66E-05,0.000427408
AT2G28740,234.9402353,-2.05031281,0.612976471,-3.344847488,0.000823278,0.005378975
